Title,Abstract,Authors,Publication Year,Summary
Targeted PLK1 suppression through RNA interference mediated by high-fidelity Cas13d mitigates osteosarcoma progression via TGF-β/Smad3 signalling.,"Osteosarcoma is the most common primary bone malignancy in children and adolescents. Overexpression of polo-like kinase 1 (PLK1) is frequent in osteosarcoma and drives disease progression and metastasis, making it a promising therapeutic target. In this study, we explored PLK1 knockdown in osteosarcoma cells using RNA interference mediated by high-fidelity Cas13d (hfCas13d). PLK1 was found to be significantly upregulated in osteosarcoma tumour tissues compared to normal bone. sgRNA-mediated PLK1 suppression via hfCas13d transfection inhibited osteosarcoma cell proliferation, induced G2/M cell cycle arrest, promoted apoptosis, reduced cell invasion and increased expression of the epithelial marker E-cadherin. Proximity labelling by TurboID coupled with co-immunoprecipitation identified novel PLK1 interactions with Smad3, a key intracellular transducer of TGF-β signalling. PLK1 knockdown impaired Smad2/3 phosphorylation and modulated TGF-β/Smad3 pathway inactivation. Finally, in vivo delivery of hfCas13d vectors targeting PLK1 substantially attenuated osteosarcoma xenograft growth in nude mice. Taken together, this study highlights PLK1 as a potential therapeutic target and driver of disease progression in osteosarcoma. It also demonstrates the utility of hfCas13d-mediated gene knockdown as a strategy for targeted therapy. Further optimization of PLK1 suppression approaches may ultimately improve clinical outcomes for osteosarcoma patients.",['Yuan Y; Cao D; Zhang A; Liu Z; Deng Z; Zhang S'],2024,osteosarcoma is the most common primary bone malignancy in children and adolescents. overexpression of polo-like kinase 1 (PLK1) is frequent in osteosarcoma. this study highlights PLK1 as a potential therapeutic target.
Influence of relatively short-term culture on adult porcine islets for xenotransplantation.,"Porcine islet xenotransplantation is a promising therapy for severe diabetes mellitus. Maintenance of the quality and quantity of porcine islets is important for the success of this treatment. Here, we aimed to elucidate the influence of relatively short-term (14 days) culture on adult porcine islets isolated from three micro-minipigs (P111, P112 and P121). Morphological characteristics of islets changed little after 14 days of culture. The viability of cultured islets was also maintained at a high level (> 80%). Furthermore, cultured islets exhibited similar glucose-stimulated insulin secretion and insulin content at Day 14 were preserved comparing with Day 1, while the expressions of Ins, Gcg and Sst were attenuated at Day 14. Xenotransplantation using diabetic nude mice showed no normalization of blood glucose but increased levels of plasma porcine C-peptide after the transplantation of 14 day cultured porcine islets. Histological assessment revealed that relatively short-term cultured porcine islets were successfully engrafted 56 days following transplantation. These data show that relatively short-term culture did not impair the quality of adult porcine islets in regard to function, morphology, and viability. Prevention of impairment of gene correlated with endocrine hormone is warranted for further improvement.",['Sakata N; Yoshimatsu G; Kawakami R; Kodama S'],2024,xenotransplantation is a promising therapy for severe diabetes mellitus. xenotransplantation is a promising therapy for severe diabetes mellitus.
Ductal carcinoma in situ develops within clonal fields of mutant cells in morphologically normal ducts.,"Mutations are abundantly present in tissues of healthy individuals, including the breast epithelium. Yet it remains unknown whether mutant cells directly induce lesion formation or first spread, leading to a field of mutant cells that is predisposed towards lesion formation. To study the clonal and spatial relationships between morphologically normal breast epithelium adjacent to pre-cancerous lesions, we developed a three-dimensional (3D) imaging pipeline combined with spatially resolved genomics on archival, formalin-fixed breast tissue with the non-obligate breast cancer precursor ductal carcinoma in situ (DCIS). Using this 3D image-guided characterization method, we built high-resolution spatial maps of DNA copy number aberration (CNA) profiles within the DCIS lesion and the surrounding normal mammary ducts. We show that the local heterogeneity within a DCIS lesion is limited. However, by mapping the CNA profiles back onto the 3D reconstructed ductal subtree, we find that in eight out of 16 cases the healthy epithelium adjacent to the DCIS lesions has overlapping structural variations with the CNA profile of the DCIS. Together, our study indicates that pre-malignant breast transformations frequently develop within mutant clonal fields of morphologically normal-looking ducts. © 2024 The Authors. The Journal of Pathology published by John Wiley & Sons Ltd on behalf of The Pathological Society of Great Britain and Ireland.",['Hutten SJ; Messal HA; Lips EH; Sheinman M; Ciwinska M; Braams E; van der Borden C; Kristel P; Stoffers S; Wessels LF; Jonkers J; van Rheenen J; Wesseling J; Scheele CL'],2024,a 3D imaging pipeline was developed to study the clonal and spatial relationships between morphologically normal breast epithelium adjacent to pre-cancerous lesions. the ductal carcinoma in situ (DCIS) is a non-obligate breast cancer precursor.
Nurses' self-regulation after engaging in end-of-life conversations with advanced cancer patients: a qualitative study.,"Self-regulation is crucial for nurses who engage in in-depth end-of-life conversations with advanced cancer patients, especially in cultural contexts featuring death taboos. An improved understanding of the self-regulation process of nurses can help them address negative emotions and promote self-growth more effectively. Therefore, this study aimed to explore nurses' self-regulation process after end-of-life conversations with advanced cancer patients. This study employed a descriptive, qualitative approach. Seventeen nurses from four hospitals and a hospice unit in mainland China were interviewed between September 2022 and June 2023. Data were collected through face-to-face semistructured interviews. A thematic analysis method was used to analyse the data following the guidance of regulatory focus theory. Three main themes were developed: self-regulation antecedents include personality, experience, and support; promotion or prevention is a possible self-regulation process for nurses; both self-exhaustion and self-growth may be the outcomes of self-regulation, as did seven subthemes. Personality tendencies, life experience, and perceived support may affect nurses' self-regulation, thereby affecting their self-regulation outcomes. Nurses exhibit different self-regulatory tendencies and self-regulation outcomes. The provision of peer support and counselling support to nurses is highly important with regard to achieving good self-regulation outcomes.",['Du J; An Z; Wang C; Yu L'],2024,self-regulation is crucial for nurses who engage in end-of-life conversations with advanced cancer patients. this study aimed to explore nurses' self-regulation process after end-of-life conversations with advanced cancer patients. seventeen nurses from four hospitals and a hospice unit in mainland china were interviewed between September 2022 and June 2023.
A novel gain-of-function phosphorylation site modulates PTPN22 inhibition of TCR signaling.,"Protein Tyrosine Phosphatase Non-receptor type 22 (PTPN22) is encoded by a major autoimmunity gene and is a known inhibitor of T cell receptor (TCR) signaling and drug target for cancer immunotherapy. However, little is known about PTPN22 post-translational regulation. Here we characterize a phosphorylation site at Ser<sup>325</sup> situated C-terminal to the catalytic domain of PTPN22, and its roles in altering protein function. In human T cells, Ser<sup>325</sup> is phosphorylated by Glycogen Synthase Kinase-3 (GSK3) following TCR stimulation, which promotes its TCR-inhibitory activity. Signaling through the major TCR-dependent pathway under PTPN22 control was enhanced by CRISPR/Cas9 mediated suppression of Ser<sup>325</sup> phosphorylation and inhibited by mimicking it via glutamic acid substitution. Global phospho-mass spectrometry showed Ser<sup>325</sup> phosphorylation state alters downstream transcriptional activity through enrichment of Swi3p, Rsc8p and Moira (SWIRM) domain binding proteins, and next-generation sequencing (NGS) revealed it differentially regulates the expression of chemokines and T cell activation pathways. Moreover, in vitro kinetic data suggest the modulation of activity depends on a cellular context. Finally, we begin to address the structural and mechanistic basis for the influence of Ser<sup>325</sup> phosphorylation on the protein's properties by Deuterium Exchange Mass Spectrometry (DX/MS) and Nuclear Magnetic Resonance (NMR) spectroscopy. In conclusion, this study explores the function of a novel phosphorylation site of PTPN22 that is involved in complex regulation of TCR signaling and provides details that might inform the future development of allosteric modulators of PTPN22. Significance statement The tyrosine phosphatase PTPN22 serves as a negative regulator in T cells, and its phosphorylation is a major regulatory process for controlling its function. Here, we uncovered a novel phosphorylation site at Ser<sup>325</sup> on PTPN22 that allosterically regulates its activity leading to impaired TCR-dependent pathways. Biophysical methods identify multiple regions affected upon Ser<sup>325</sup> phosphorylation, which can be the basis for future mechanistic studies of PTPN22 activators or inhibitors.",['Zhuang C; Yang S; Gonzalez CG; Ainsworth RI; Li S; Kobayashi MT; Wierzbicki I; Rossitto LM; Wen Y; Peti W; Stanford SM; Gonzalez DJ; Murali R; Santelli E; Bottini N'],2024,"phosphorylation site at sersup>325/sup> situated C-terminal to the catalytic domain of PTPN22. phosphorylation state alters downstream transcriptional activity through enrichment of Swi3p, Rsc8p and Moira domain binding proteins."
PI3K/AKT Signaling Pathway Mediated Autophagy in Oral Carcinoma - A Comprehensive Review.,"Oral cancer is the most heterogeneous cancer at clinical and histological levels. PI3K/AKT/mTOR pathway was identified as one of the most commonly modulated signals in oral cancer, which regulates major cellular and metabolic activity of the cell. Thus, various proteins of PI3K/AKT/mTOR pathway were used as therapeutic targets for oral cancer, to design more specific drugs with less off-target toxicity. This review sheds light on the regulation of PI3K/AKT/mTOR, and its role in controlling autophagy and associated apoptosis during the progression and metastasis of oral squamous type of malignancy (OSCC). In addition, we reviewed in detail the upstream activators and the downstream effectors of PI3K/AKT/mTOR signaling as potential therapeutic targets for oral cancer treatment.",['Rajendran P; Sekar R; Dhayasankar PS; Ali EM; Abdelsalam SA; Balaraman S; Chellappan BV; Metwally AM; Abdallah BM'],2024,PI3K/AKT/mTOR pathway was identified as one of the most commonly modulated signals in oral cancer. PI3K/AKT/mTOR pathway was used as therapeutic targets for oral cancer.
Decline in Smartphone-Assessed Physical Activity Level is Associated With Clinical Outcomes in Phase I/II Clinical Cancer Trials.,"A decline in physical function may be an early predictor for complications of cancer treatment. This study examined whether repeated objective smartphone measurements of physical activity and exercise capacity in patients with cancer are feasible during early-phase clinical trials (EPCTs) and whether a decline in physical function is associated with clinical outcomes. Physical activity (steps/day) and exercise capacity (6-minute walk test [6MWT]) were measured with a smartphone before EPCT start (T0) and after 4 weeks (T1) and 8 weeks (T2). Univariable logistic regression analyzed associations between a decline in step count (≥20%), 6MWT distance (≥10%), or deterioration of ECOG performance status (PS) and trial discontinuation at 8 weeks and 90 days. Cox proportional hazards models were used to examine associations with progression-free survival (PFS) and overall survival (OS), adjusting for trial phase (I vs II), cancer type (hematologic malignancy vs solid tumor), and PS (0 vs ≥1). Among 117 included patients, valid step count and 6MWT measurements were available for 96.6% and 76.7% of patients at T0, 74.4% and 53.3% at T1, and 89.7% and 54.4% at T2, respectively. Patients experiencing step count decline between T0 and T1 had higher odds of trial discontinuation at 8 weeks (odds ratio, 8.67; 95% CI, 1.94-61.43), and decline between T1 and T2 was associated with discontinuation at 90 days (odds ratio, 5.20; 95% CI, 1.43-21.14). Step count decline was significantly associated with shorter PFS (hazard ratio, 3.54; 95% CI, 2.06-6.08) and OS (hazard ratio, 2.31; 95% CI, 1.26-4.23). Declines in 6MWT distance or deterioration in ECOG PS were not associated with trial discontinuation or survival. Repeated smartphone measurements of physical activity are feasible in patients participating in EPCTs. Additionally, physical activity decline is significantly associated with trial discontinuation, PFS, and OS. Hence, we envision that objective smartphone measurements of physical activity will contribute to optimal treatment development for patients with cancer.",['Brouwer CG; Douma JAJ; Kuip EJM; Zweegman S; van de Donk NWCJ; Hopman MTE; van Linde ME; Verheul HMW; Buffart LM'],2024,"physical activity (steps/day) and exercise capacity (6-minute walk test [6MWT]) were measured with a smartphone before EPCT start (T0) and after 4 weeks (T1) and 8 weeks (T2). a decline in step count (20%), 6MWT distance (10%), or deterioration of ECOG performance status (PS) and trial discontinuation at 8 weeks and 90 days."
FBXO32 Stimulates Protein Synthesis to Drive Pancreatic Cancer Progression and Metastasis.,"Pancreatic ductal adenocarcinoma (PDAC) is one of the leading causes of cancer-related death worldwide, primarily due to its rapid progression. The current treatment options for PDAC are limited, and a better understanding of the underlying mechanisms responsible for PDAC progression is required to identify improved therapeutic strategies. Here, we identified FBXO32 as an oncogenic driver in PDAC. FBXO32 was aberrantly upregulated in PDAC, and high FBXO32 expression was significantly associated with an unfavorable prognosis in PDAC patients. FRG1 deficiency promoted FBXO32 upregulation in PDAC. FBXO32 promoted cell migration and invasion in vitro and tumor growth and metastasis in vivo. Mechanistically, FBXO32 directly interacted with eEF1A1 and promoted its polyubiquitination at the K273 site, leading to enhanced activity of eEF1A1 and increased protein synthesis in PDAC cells. Moreover, FBXO32-catalyzed eEF1A1 ubiquitination boosted the translation of ITGB5 mRNA and activated FAK signaling, thereby facilitating focal adhesion assembly and driving PDAC progression. Importantly, interfering with the FBXO32-eEF1A1 axis or pharmaceutical inhibition of FAK by defactinib, an FDA-approved FAK inhibitor, substantially inhibited PDAC growth and metastasis driven by aberrantly activated FBXO32-eEF1A1 signaling. Overall, this study uncovers a mechanism by which PDAC cells rely on FBXO32-mediated eEF1A1 activation to drive progression and metastasis. FBXO32 may serve as a promising biomarker for selecting eligible PDAC patients for treatment with defactinib.",['Su D; Wang R; Chen G; Ding C; Liu Y; Tao J; Wang Y; Qiu J; Luo W; Weng G; Gang Y; Zhang T'],2024,FBXO32 was aberrantly upregulated in PDAC. FBXO32 promoted cell migration and invasion in vitro and tumor growth. eEF1A1 ubiquitination boosted the translation of ITGB5 mRNA.
Antioxidant activity of Sophora exigua and liposome development of its powerful extract.,"Sophora exigua (SE) was sequentially extracted using hexane, ethyl acetate, and ethanol. The obtained extracts were tested for antioxidant activity. Among them, the fractionated ethyl acetate extract (SE-EA) showed the highest potential in free radical scavenging and ferric-reducing properties. The chemical analysis identified sophoraflavanone G as one of the active ingredients in SE-EA. According to SE-EA solubility, SE-EA liposomes were developed using a sonication-assisted thin film method. Cholesterol and phospholipids were used as the main compositions of the liposomes. The obtained liposomes were spherical with different nano-size ranges, size distribution, and zeta potential depending on SE-EA and total lipid concentrations. SE-EA liposomes were slightly bigger than their empty liposomes. All liposomes exhibited a phospholipid crystalline structure. Cholesterol and SE-EA existed in the liposomes as an amorphous state. SE-EA liposomes with high total lipid content exhibited high entrapment efficiency and sustained release behavior. Whereas liposomes with low total lipid content showed low entrapment efficiency and fast-release behavior. All SE-EA liposomes showed stronger antioxidant activity than the non-entrapped SE-EA. In conclusion, SE-EA is a natural source of potent antioxidants. The developed SE-EA liposomes are a promising pharmaceutical formulation to efficiently deliver the active ingredients of SE-EA and are suitable for further study in vivo.",['Rodwattanagul S; Sasarom M; Riangjanapatee P; Anuchapreeda S; Okonogi S'],2024,"hexane, ethyl acetate, and ethanol were tested for antioxidant activity. the fractionated ethyl acetate extract (SE-EA) showed the highest potential in free radical scavenging and ferric-reducing properties."
"The clinical significance of TAT, PIC, TM, and t-PAIC in vascular events of BCR/ABL-negative myeloproliferative neoplasms.","Predicting the likelihood vascular events in patients with BCR/ABL1-negative myeloproliferative neoplasms (MPN) is essential for the treatment of the disease. However, effective assessment methods are lacking. Thrombin-antithrombin complex (TAT), plasmin-α<sub>2</sub>- plasmininhibitor complex (PIC), thrombomodulin (TM), and tissue plasminogen activator-inhibitor complex (t-PAIC) are the new direct indicators for coagulation and fibrinolysis. The aim of this study was to investigate the changes of these four new indicators in thrombotic and hemorrhagic events in BCR/ABL1-negative MPN. The study cohort of 74 patients with BCR/ABL negative myeloproliferative disorders included essential thrombocythemia, polycythemia vera, and primary myelofibrosis (PMF). A panel of 4 biomarkers, including TAT, PIC, TM, and t-PAIC were determined using Sysmex HISCL5000 automated analyzers, whereas fibrin/fibrinogen degradation products (FDP), D-dimer and Antithrombin III (ATIII) were analyzed using Sysmex CS5100 coagulation analyzer. A total of 24 (32.4%) patients experienced thrombotic events and hemorrhagic events occurred in 8 patients (10.8%). Compared to patients without hemorrhagic-thrombotic events, patients with thrombotic events had higher fibrinogen (FIB) level, FDP level and lower ATIII activity, while patients with hemorrhagic events had lower white blood cell count and hemoglobin level, higher FDP level (P < 0.05). Patients with a JAK2V617F mutation were more likely to experience thrombotic events (P < 0.05). In addtion, patients with thrombotic events had higher TAT, PIC, TM, and t-PAIC levels than patients without hemorrhagic-thrombotic events (P < 0.05), whereas patients with hemorrhagic events had a lower median value in TAT and TM (no statistical difference, P > 0.05). Patients with higher TAT, TM and t-PAIC were more likely to experience thrombotic events (P < 0.05), and only TAT was positively correlated with thrombotic events (Spearman  r =0.287, P = 0.019). TAT, PIC, TM, and t-PAIC combined with ATIII and FDP have a certain value for predicting thrombosis in patients with BCR/ABL1-negative MPN. These 6 parameters are worth further exploration as predictive factors and prognostic markers for early thrombotic events.",['Huang K; Mo Q; Liao C; Feng S; Liu G; Jiang D; Lei P'],2024,"thrombotic and hemorrhagic events in patients with myeloproliferative neoplasms are key. thrombocythemia, polycythemia vera, and primary myelofibrosis are new indicators."
A Primary Care-Based Weight Navigation Program.,"Evidence-based weight management treatments (WMTs) are underused; strategies are needed to increase WMT use and patients' weight loss. To evaluate the association of a primary care-based weight navigation program (WNP) with WMT use and weight loss. This cohort study comprised a retrospective evaluation of a quality improvement program conducted from October 1, 2020, to September 30, 2021. Data analysis was performed from August 2, 2022, to March 7, 2024. Adults with obesity and 1 or more weight-related condition from intervention and control sites in a large academic health system in the Midwestern US were propensity matched on sociodemographic and clinical factors. WNP, in which American Board of Obesity Medicine-certified primary care physicians offered weight-focused visits and guided patients' selection of preference-sensitive WMTs. Primary outcomes were feasibility measures, including rates of referral to and engagement in the WNP. Secondary outcomes were mean weight loss, percentage of patients achieving 5% or more and 10% or more weight loss, referral to WMTs, and number of antiobesity medication prescriptions at 12 months. Of 264 patients, 181 (68.6%) were female and mean (SD) age was 49.5 (13.0) years; there were no significant differences in demographic characteristics between WNP patients (n = 132) and matched controls (n = 132). Of 1159 WNP-eligible patients, 219 (18.9%) were referred to the WNP and 132 (11.4%) completed a visit. In a difference-in-differences analysis, WNP patients lost 4.9 kg more than matched controls (95% CI, 2.11-7.76; P < .001), had 4.4% greater weight loss (95% CI, 2.2%-6.4%; P < .001), and were more likely to achieve 5% or more weight loss (odds ratio [OR], 2.90; 95% CI, 1.54-5.58); average marginal effects, 21.2%; 95% CI, 8.8%-33.6%) and 10% or more weight loss (OR, 7.19; 95% CI, 2.55-25.9; average marginal effects, 17.4%; 95% CI, 8.7%-26.2%). Patients in the WNP group were referred at higher rates to WMTs, including bariatric surgery (18.9% vs 9.1%; P = .02), a low-calorie meal replacement program (16.7% vs 3.8%; P < .001), and a Mediterranean-style diet and activity program (10.6% vs 1.5%; P = .002). There were no between-group differences in antiobesity medication prescribing. The findings of this cohort study suggest that WNP is feasible and associated with greater WMT use and weight loss than matched controls. The WNP warrants evaluation in a large-scale trial.",['Griauzde DH; Turner CD; Othman A; Oshman L; Gabison J; Arizaca-Dileo PK; Walford E; Henderson J; Beckius D; Lee JM; Carter EW; Dallas C; Herrera-Theut K; Richardson CR; Kullgren JT; Piatt G; Heisler M; Kraftson A'],2024,"a weight navigation program is underused; strategies are needed to increase WMT use. the study was conducted from October 1, 2020, to September 30, 2021. the results were based on a retrospective evaluation of a quality improvement program."
Relationship between immune cells and diabetic nephropathy: a Mendelian randomization study.,"Although previous studies have suggested potential correlations between immunocytes and diabetic nephropathy (DN), the causal correlations between them remain unclarified. In this study, we employed Mendelian randomization (MR) to analyze the potential causative correlations between immune 731 cells and DN. We used the Genome-Wide Association Studies (GWAS) database to aggregate signatures of immune cells and DN from European and East Asian populations. Single-nucleotide polymorphisms (SNPs) were used as instrumental variables. MR analysis was conducted using Mendelian randomization-Egger (MR-Egger) regression and the random-effects inverse-variance weighted (IVW) method. A total of 3,571 SNPs were included as instrumental variables. The MR-Egger regression model indicated no genetic pleiotropy (P = 0.6284). The results of the IVW method indicated a statistically significant causal relationship between immune cell HLA-DR on CD14-CD16- (P = 0.029), CD45RA-CD28-CD8 + T cell% T cells (P = 0.0278), CD11c on myeloid dendritic cells (P = 0.0352), HLA-DR on CD14<sup>+</sup> monocytes (P < 0.001), CD27 on CD24 + CD27 + B cells (P = 0.0334), CD27 on IgD + CD24 + B cells (P = 0.0137), CD4 on CD39 + CD4 + T cells (P = 0.0347), CD28 on CD39 + CD4 + T cells (P = 0.0414), CD39 on CD39 + CD4 + T cells (P = 0.0426), and DN. Additionally, there was no heterogeneity in SNPs related HLA-DR on CD14-CD16-cells and DN(I<sup>2</sup> = 32%, Cochran's Q = 2.9476, P = 0.2291). Moreover, leave-one-out analysis showed a causal correlation between HLA-DR on CD14-CD16- cells and DN. Higher expression of immune cell HLA-DR on CD14-CD16- cells may indicate a lower risk of DN.",['Li X; Zhang L; Yan C; Zeng H; Chen G; Qiu J'],2024,"mendelian randomization (MR) analysis was conducted using the random-effects inverse-variance weighted (IVW) method. MR analysis was conducted using the Genome-Wide Association Studies database. a total of 3,571 SNPs were included as instrumental variables."
Upregulation of collagen type X alpha 1 promotes the progress of triple-negative breast cancer via Wnt/β-catenin signaling.,"Triple-negative breast cancer (TNBC) is a malignant tumor with high degree of malignancy and lack of effective target treatment. The research aims to explore the role and mechanism of X collagen alpha-1 chain protein (COL10A1 gene) in TNBC. UALCAN and Kaplan-Meier were used to detect the expression of COL10A1 and its role in the prognosis of breast cancer patients. The cells with stably expressing high levels of COL10A1 were obtained by recombinant lentivirus infection. The expression of COL10A1 in cells was temporarily downregulated by siRNA interference fragments. Real-time quantitative polymerase chain reaction and western blot analysis were utilized to detect the changes of COL10A1 mRNA and protein expression. The biological functions of the cells were evaluated by colony formation, cell counting kit-8, cell invasion and wound healing experiments. In addition, the effect of COL10A1 on angiogenesis was investigated by tube formation assay. Xenograft tumor model was used to confirm the effect of COL10A1 on tumorigenicity in vivo and multiplex fluorescent immunohistochemistry to detect multiple proteins simultaneously. The possible molecular mechanism of the function of COL10A1 was speculated through the detection of proteins in functionally related pathways. COL10A1 is highly expressed and is significantly associated with worse overall survival (OS) and recurrence-free survival (RFS) in TNBC. Overexpression of COL10A1 increased the clone formation rate and cell migration capacity of TNBC cells. In the COL10A1 overexpression group, the clone formation rates of MD-MB-231 and BT-549 cells (21.5 ± 0.62, 27.83 ± 3.72)% were significantly higher than those in the control group(15.23 ± 2.79, 19.4 ± 1.47)%, and the relative migration ratio (47.40 ± 3.09, 41.26 ± 4.33)% were higher than those in the control group (34.48 ± 2.03, 21.80 ± 1.03)%. When the expression of COL10A1 was downregulated, the ability of clone formation and wound-healing migration capacity in TNBC cells was weakened. Upregulated COL10A1 in TNBC cells generated more junctions and longer total segments between vascular endothelial cells, and promoted angiogenesis of the cells, and thus enhanced the tumorigenesis. In TNBC, it was found that COL10A1 might affect epithelial-mesenchymal transition (EMT) of the cells through Wnt/β-catenin signaling pathway by the detection of the related pathway proteins. COL10A1 is highly expressed in TNBC, and its high expression leads to poor OS and RFS. COL10A1 may enhance TNBC cell proliferation, migration and tumor-related angiogenesis, and promote tumorigenesis in vivo via Wnt/β-catenin signaling.",['Peng J; Liu X; Mao Y; Lv M; Ma T; Liu J; Zhou Q; Han Y; Li X; Wang H'],2024,UALCAN and Kaplan-Meier were used to detect the expression of COL10A1. the cells with stably expressing high levels of COL10A1 were obtained by recombinant lentivirus infection. the expression of COL10A1 in cells was temporarily downregulated by siRNA interference fragments.
Optimizing Diabetes Care Through Listening to Multiple Voices.,"This article is adapted from the address Dr. Caballero delivered as the recipient of the American Diabetes Association's Outstanding Educator in Diabetes Award for 2023. He delivered the address in June 2023 during the Association's 83rd Scientific Sessions in San Diego, CA. A webcast of this speech is available for viewing on the DiabetesPro website (https://events.diabetes.org/live/25/page/186).",['Caballero AE'],2024,adapted from the address delivered by Dr. Caballero. he delivered the address during the Association's 83rd Scientific Sessions.
Abdominal wall congenital infantile fibrosarcoma: A rare case report and literature review.,"Congenital infantile fibrosarcoma is a rare malignant soft tissue tumor, accounting for less than 1%-2% of childhood cancers. Although it can arise from any body part, an abdominal wall origin is exceptionally rare. This case report presents a case of congenital infantile fibrosarcoma originating from the abdominal wall. To the best of our knowledge, this is only the second reported case of abdominal wall congenital infantile fibrosarcoma. Unlike adult fibrosarcoma, infantile fibrosarcoma has a good prognosis with less metastasis. Early diagnosis and management are critical for improving outcomes in such rare cases.",['Yaynishet YA; Salah FO; Derbew HM; Hailu A; Fufa D; Abafogi AK; Alemu H'],2024,"congenital infantile fibrosarcoma is a rare malignant soft tissue tumor. it is a rare malignant soft tissue tumor, accounting for less than 1%-2% of childhood cancers. this is only the second reported case of abdominal wall congenital infantile fibrosarcoma."
Assessing metabolic risk factors for psychiatric patients: An IT-supported task shift from physician to pharmacist.,"Psychiatric medication can have adverse effects such as weight gain, which is a metabolic risk factor for the development of cardiovascular disease and diabetes. This study aimed to assess whether an IT-supported task shift from physicians to pharmacists could improve clinical guideline compliance in assessing metabolic risk factors for psychiatric patients. An IT tool was designed and implemented in the electronic health record to enable pharmacists to efficiently screen patients for metabolic risk factors. The tool provided a risk score for each patient based on criteria from the cross-regional guideline. All admitted patients with a score were assessed by the pharmacists, who referred and discussed the patients with a physician when deemed relevant. We measured guideline compliance during baseline (manual screening) and intervention (automated screening) after implementing the IT tool and pharmacist assessment. After the intervention period, we conducted follow-up interviews with all participating pharmacists. Guideline compliance increased significantly from 26 % (baseline) to 63 % (intervention) (Fisher's exact test p < .001, N = 98). The task shift from physicians to pharmacists was also significant (Fisher's exact test, p < .001, N = 40). Interviews revealed that the pharmacists found the task shift meaningful and received positive feedback from the physicians. The facilitators of the task shift included interprofessional collaboration, physician shortage, provider empowerment, and the manageable nature of the task. The barriers included a need for further competence development and lack of pharmacist authorization. The IT tool was considered useful and suggestions for improvements emerged. The IT-supported task shift from physician to pharmacist significantly improved guideline compliance in the assessment of metabolic risk factors in psychiatric patients. The findings support increasing the pharmacist's role in psychiatric care to improve patient outcomes.",['Bech CF; Simonsen J; Hertzum M'],2024,IT-supported task shift from physicians to pharmacists could improve clinical guideline compliance. tool provided a risk score for each patient based on criteria from cross-regional guideline. guideline compliance increased significantly from 26 % (baseline) to 63 % (intervention)
Integrating single-cell and spatial analysis reveals MUC1-mediated cellular crosstalk in mucinous colorectal adenocarcinoma.,"Mucinous colorectal adenocarcinoma (MCA) is a distinct subtype of colorectal cancer (CRC) with the most aggressive pattern, but effective treatment of MCA remains a challenge due to its vague pathological characteristics. An in-depth understanding of transcriptional dynamics at the cellular level is critical for developing specialised MCA treatment strategies. We integrated single-cell RNA sequencing and spatial transcriptomics data to systematically profile the MCA tumor microenvironment (TME), particularly the interactome of stromal and immune cells. In addition, a three-dimensional bioprinting technique, canonical ex vivo co-culture system, and immunofluorescence staining were further applied to validate the cellular communication networks within the TME. This study identified the crucial intercellular interactions that engaged in MCA pathogenesis. We found the increased infiltration of FGF7<sup>+</sup>/THBS1<sup>+</sup> myofibroblasts in MCA tissues with decreased expression of genes associated with leukocyte-mediated immunity and T cell activation, suggesting a crucial role of these cells in regulating the immunosuppressive TME. In addition, MS4A4A<sup>+</sup> macrophages that exhibit M2-phenotype were enriched in the tumoral niche and high expression of MS4A4A<sup>+</sup> was associated with poor prognosis in the cohort data. The ligand-receptor-based intercellular communication analysis revealed the tight interaction of MUC1<sup>+</sup> malignant cells and ZEB1<sup>+</sup> endothelial cells, providing mechanistic information for MCA angiogenesis and molecular targets for subsequent translational applications. Our study provides novel insights into communications among tumour cells with stromal and immune cells that are significantly enriched in the TME during MCA progression, presenting potential prognostic biomarkers and therapeutic strategies for MCA. Tumour microenvironment profiling of MCA is developed. MUC1<sup>+</sup> tumour cells interplay with FGF7<sup>+</sup>/THBS1<sup>+</sup> myofibroblasts to promote MCA development. MS4A4A<sup>+</sup> macrophages exhibit M2 phenotype in MCA. ZEB1<sup>+</sup> endotheliocytes engage in EndMT process in MCA.",['Zhou H; Shen Y; Zheng G; Zhang B; Wang A; Zhang J; Hu H; Lin J; Liu S; Luan X; Zhang W'],2024,adenocarcinoma is a distinct subtype of colorectal cancer. the most aggressive pattern is the mucinous colorectal adenocarcinoma. the tumor microenvironment is a complex pathological condition.
